"","Race","Day","Daily_P"
"1","LateFall",1,0.00263922727881705
"2","LateFall",2,0.00271414283437457
"3","LateFall",3,0.00278399862092007
"4","LateFall",4,0.00284833385754349
"5","LateFall",5,0.00290672345296942
"6","LateFall",6,0.00295878304321851
"7","LateFall",7,0.00300417354913502
"8","LateFall",8,0.00304260517583216
"9","LateFall",9,0.00307384078594904
"10","LateFall",10,0.00309769858996244
"11","LateFall",11,0.00311405410938549
"12","LateFall",12,0.00312284138220876
"13","LateFall",13,0.00312405339407278
"14","LateFall",14,0.0031177417330627
"15","LateFall",15,0.00310401548034173
"16","LateFall",16,0.00308303936275104
"17","LateFall",17,0.00305503120667819
"18","LateFall",18,0.00302025874463494
"19","LateFall",19,0.00297903583682513
"20","LateFall",20,0.00293171817929799
"21","LateFall",21,0.00287869857789295
"22","LateFall",22,0.00282040187295735
"23","LateFall",23,0.00275727960367944
"24","LateFall",24,0.00268980450279618
"25","LateFall",25,0.00261846491243307
"26","LateFall",26,0.00254375920997869
"27","LateFall",27,0.00246619032930651
"28","LateFall",28,0.0023862604574807
"29","LateFall",29,0.00230446598050788
"30","LateFall",30,0.00222129274393293
"31","LateFall",31,0.00213721168535464
"32","LateFall",32,0.00205267488649692
"33","LateFall",33,0.00196811208256066
"34","LateFall",34,0.00188392765644324
"35","LateFall",35,0.00180049813528319
"36","LateFall",36,0.00171817019688836
"37","LateFall",37,0.00163725918413977
"38","LateFall",38,0.00155804811661056
"39","LateFall",39,0.0014807871805545
"40","LateFall",40,0.00140569367122821
"41","LateFall",41,0.00133295235531329
"42","LateFall",42,0.00126271621606778
"43","LateFall",43,0.0011951075397994
"44","LateFall",44,0.00113021929932927
"45","LateFall",45,0.00106811678828794
"46","LateFall",46,0.00100883945931985
"47","LateFall",47,0.000952402919505986
"48","LateFall",48,0.000898801037471859
"49","LateFall",49,0.000848008118634605
"50","LateFall",50,0.000799981107754166
"51","LateFall",51,0.000754661781275439
"52","LateFall",52,0.000711978895760507
"53","LateFall",53,0.000671850262890544
"54","LateFall",54,0.000634184725943246
"55","LateFall",55,0.000598884017204495
"56","LateFall",56,0.000565844480338643
"57","LateFall",57,0.000534958646214362
"58","LateFall",58,0.000506116654966053
"59","LateFall",59,0.000479207521079471
"60","LateFall",60,0.000454120241952275
"61","LateFall",61,0.000430744753636917
"62","LateFall",62,0.000408972740280399
"63","LateFall",63,0.000388698306103136
"64","LateFall",64,0.000369818520592086
"65","LateFall",65,0.000352233848920124
"66","LateFall",66,0.000335848480456315
"67","LateFall",67,0.000320570568624298
"68","LateFall",68,0.000306312395333462
"69","LateFall",69,0.000292990472794007
"70","LateFall",70,0.000280525594784085
"71","LateFall",71,0.000268842848422083
"72","LateFall",72,0.000257871596270428
"73","LateFall",73,0.000247545437221331
"74","LateFall",74,0.000237802153151313
"75","LateFall",75,0.000228583646839637
"76","LateFall",76,0.000219835875181171
"77","LateFall",77,0.000211508780336561
"78","LateFall",78,0.000203556220194828
"79","LateFall",79,0.000195935898410697
"80","LateFall",80,0.00018860929334788
"81","LateFall",81,0.000181541584528037
"82","LateFall",82,0.000174701574662229
"83","LateFall",83,0.000168061605028021
"84","LateFall",84,0.000161597461843513
"85","LateFall",85,0.000155288271364989
"86","LateFall",86,0.000149116381676937
"87","LateFall",87,0.00014306722952655
"88","LateFall",88,0.000137129191050206
"89","LateFall",89,0.000131293415815647
"90","LateFall",90,0.000125553644228461
"91","LateFall",91,0.000119906008993131
"92","LateFall",92,0.00011434882194722
"93","LateFall",93,0.000108882348174731
"94","LateFall",94,0.000103508569827191
"95","LateFall",95,9.82309425189787e-05
"96","LateFall",96,9.30541475015456e-05
"97","LateFall",97,8.79838430495306e-05
"98","LateFall",98,8.30264186049986e-05
"99","LateFall",99,7.81887552239776e-05
"100","LateFall",100,7.34779957561392e-05
"101","LateFall",101,6.89013279721717e-05
"102","LateFall",102,6.44657835456053e-05
"103","LateFall",103,6.01780554109308e-05
"104","LateFall",104,5.60443355740344e-05
"105","LateFall",105,5.2070174961691e-05
"106","LateFall",106,4.82603663820546e-05
"107","LateFall",107,4.46188511454255e-05
"108","LateFall",108,4.11486493807485e-05
"109","LateFall",109,3.78518135936984e-05
"110","LateFall",110,3.47294045601933e-05
"111","LateFall",111,3.17814882459792e-05
"112","LateFall",112,2.90071520972054e-05
"113","LateFall",113,2.64045387649209e-05
"114","LateFall",114,2.39708951116851e-05
"115","LateFall",115,2.17026342022003e-05
"116","LateFall",116,1.95954079008358e-05
"117","LateFall",117,1.76441876839923e-05
"118","LateFall",118,1.58433513194902e-05
"119","LateFall",119,1.41867731622748e-05
"120","LateFall",120,1.26679159583117e-05
"121","LateFall",121,1.12799222286196e-05
"122","LateFall",122,1.0015703514513e-05
"123","LateFall",123,8.86802599495691e-06
"124","LateFall",124,7.82959122929825e-06
"125","LateFall",125,6.89311102597005e-06
"126","LateFall",126,6.05137568311558e-06
"127","LateFall",127,5.29731508448304e-06
"128","LateFall",128,4.62405235827956e-06
"129","LateFall",129,4.02495001395241e-06
"130","LateFall",130,3.49364865906594e-06
"131","LateFall",131,3.0240985636033e-06
"132","LateFall",132,2.61058448106466e-06
"133","LateFall",133,2.24774425452064e-06
